,Smiles,basicOrAcidic,pKa
0,O=[N+]([O-])c1ccc(S(=O)(=O)O)cc1,acidic,-7.15
1,O=[N+]([O-])c1cccc(S(=O)(=O)O)c1,acidic,-7.1
2,O=S(=O)(O)c1cccc(C(F)(F)F)c1,acidic,-6.93
3,O=S(=O)(O)c1ccc(Br)cc1,acidic,-6.72
4,C[n+]1ccc2ccccc2c1S,acidic,-2.13
5,N#Cc1c[nH+]c2ccccc2c1O,acidic,-2.08
6,Oc1[nH+]ncc2ccccc12,acidic,-2.0
7,Oc1cccn[nH+]1,acidic,-1.8
8,Oc1cccc[n+]1OCc1ccccc1,acidic,-1.7
9,O=[N+]([O-])c1cc[n+](O)cc1,acidic,-1.7
10,[O-][n+]1c2ccccc2[n+](O)c2ccccc21,acidic,-1.62
11,Sc1ccc2ccccc2[nH+]1,acidic,-1.44
12,C[n+]1ccccc1S,acidic,-1.42
13,CO[n+]1ccccc1O,acidic,-1.3
14,Sc1cccc[nH+]1,acidic,-1.22
15,Nc1nc2c(ncn2C2CC(O)C(CO)O2)c(O)[nH+]1,acidic,-0.97
16,Cc1cc(C#N)cc[n+]1O,acidic,-0.67
17,Cc1cc(C#N)cc(C)[n+]1O,acidic,-0.61
18,Nc1cc(N2CCOCC2)nc(N)n1,acidic,-0.35
19,Oc1cn[nH+]c2ccccc12,acidic,-0.35
20,CCOC(=O)c1cc(C)[n+](O)c(C)c1,acidic,-0.13
21,C[n+]1ccncc1O,acidic,-0.04
22,Cc1cc(C(=O)O)cc(C)[n+]1O,acidic,-0.01
23,CCCCOC(=O)c1ccc[n+](O)c1,acidic,0.03
24,Oc1cc2ccccc2n[nH+]1,acidic,0.21
25,O=C(O)C(F)(F)F,acidic,0.23
26,Cn1cnc2c1c(O)[nH+]c([O-])[n+]2C,acidic,0.3
27,Oc1c2ccccc2[nH+]c2ccccc12,acidic,0.32
28,C[n+]1ccccc1O,acidic,0.32
29,O=C1C(=O)C(c2ccccc2)C1=O,acidic,0.37
30,Cc1cc(O)cc(C)[o+]1,acidic,0.38
31,O=C(O)c1[nH]c2ccccc2[nH+]1,acidic,0.4
32,Cc1nc2ccccc2[nH+]c1O,acidic,0.48
33,CCCCNC(O)=S,acidic,0.67
34,N#CC1C=CN(Cc2cccc(F)c2)C=C1C(N)=O,acidic,0.68
35,Cc1cnc(-c2ccccc2)c(O)[nH+]1,acidic,0.7
36,O[n+]1ccccc1,acidic,0.77
37,Sc1cc[nH+]c2ccccc12,acidic,0.77
38,Cn1c(C(=O)O)cc(=O)n(C)c1=O,acidic,0.8
39,CCSc1nccc(O)[n+]1C,acidic,0.9
40,Cc1cccc(C(=O)O)[nH+]1,acidic,0.9
41,CCNC(O)=S,acidic,0.92
42,Nc1[nH+]c2nc[nH]c2c(N)[n+]1O,acidic,1.0
43,C[NH+](C)c1ccc(C=Cc2cc[n+](O)cc2)cc1,acidic,1.05
44,Oc1cc[nH+]nc1,acidic,1.07
45,O=C(O)c1cc(-c2ccccc2)n[nH+]c1NCC[NH+]1CCOCC1,acidic,1.1
46,O[n+]1c2ccccc2nc2ccccc21,acidic,1.12
47,Cc1nc2c(n1C)C(=O)c1nc[nH+]c(O)c1C2=O,acidic,1.15
48,Cc1cc(O)[nH+]c(O)[nH+]1,acidic,1.2
49,O=[N+]([O-])c1cccc(S(=O)O)c1,acidic,1.21
50,O=C(O)C(=O)c1ccccc1,acidic,1.22
51,O=C(O)c1cccc[nH+]1,acidic,1.25
52,O=CC(=O)O,acidic,1.26
53,Cc1cc[n+](O)cc1,acidic,1.29
54,[NH3+]C(CC(=O)O)c1cccc[nH+]1,acidic,1.3
55,Oc1nc2ccccc2c[nH+]1,acidic,1.3
56,Nc1ccc[nH+]c1C(=O)O,acidic,1.33
57,CC(=O)C1C(=O)OC(=O)C=C1C,acidic,1.34
58,Cc1ccc(C(=O)C(=O)O)cc1C,acidic,1.36
59,O[n+]1c2ccccc2cc2ccccc21,acidic,1.37
60,C[NH+](C)c1ccccc1C(=O)O,acidic,1.4
61,O=C(O)c1ccc([N+](=O)[O-])c2cccnc12,acidic,1.41
62,O=C(O)c1c(Cl)cccc1[N+](=O)[O-],acidic,1.41
63,Cc1ccc(C)c(C(=O)C(=O)O)c1,acidic,1.45
64,CC(O)C(=O)C1=Nc2c(nc(N)[nH+]c2O)NC1,acidic,1.45
65,N#Cc1nn[nH]c1C#N,acidic,1.47
66,O=C(O)C(Cl)=NO,acidic,1.5
67,O=C(O)c1cc(=O)cco1,acidic,1.5
68,O=C(O)c1cc(=O)cc(-c2ccccc2)o1,acidic,1.51
69,C[NH+]1CSCC1C(=O)O,acidic,1.51
70,Cc1ccc(C(=O)C(=O)O)cc1,acidic,1.52
71,Oc1ccc(N=Nc2nccs2)c(O)c1,acidic,1.56
72,O=[N+]([O-])c1n[nH]c(-n2cnc(Cl)n2)n1,acidic,1.59
73,O=[N+]([O-])c1cc([N+](=O)[O-])c2nnn(O)c2c1,acidic,1.6
74,COc1nc(C)cc(O)[nH+]1,acidic,1.6
75,O=[N+]([O-])c1n[nH]c(-n2cnc(Br)n2)n1,acidic,1.63
76,CCC#CC#CC#CC(=O)O,acidic,1.67
77,[NH3+]C(Cc1ccc[nH+]c1)C(=O)O,acidic,1.69
78,CC(C)Cc1cnc(CC(C)C)c(O)[nH+]1,acidic,1.7
79,O=C(O)c1cc[nH+]cc1,acidic,1.71
80,O=S(O)c1ccccc1,acidic,1.72
81,C[n+]1ccc(C(=O)O)cc1,acidic,1.72
82,COc1cnc[nH+]c1O,acidic,1.75
83,O=C1NS(=O)(=O)c2ccccc21,acidic,1.76
84,O=C(O)c1ccc2ccccc2[nH+]1,acidic,1.79
