,Smiles,basicOrAcidic,pKa
2750,CN(C)c1cc[n+](O)cc1,basic,-7.58
2751,O=C1CN(C(=O)c2ccccc2)C(=S)N1,basic,-6.6
2752,O=[N+]([O-])c1ccc(-n2cnnn2)cc1,basic,-3.92
2753,CCn1c(=O)n(C)c2ccccc21,basic,-3.7
2754,S=c1[nH]c(SCc2ccccc2)c(-c2ccccc2)[nH]1,basic,-3.31
2755,NC(=S)c1ccccc1,basic,-3.2
2756,S=C1NC(=S)C(c2ccccc2)N1,basic,-3.16
2757,O=[N+]([O-])c1ccc(-n2nnnc2C=Cc2ccc(Cl)cc2)cc1,basic,-3.05
2758,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,basic,-2.98
2759,Clc1ccc(C=Cc2nnnn2-c2ccccc2)cc1,basic,-2.54
2760,O=[N+]([O-])c1ccc(Nc2ccccc2)cc1,basic,-2.5
2761,CNc1ccc[n+](O)c1,basic,-2.42
2762,Cc1ccc2c(ccn2C)c1,basic,-2.15
2763,O=C(c1ccccc1)N(O)c1ccccc1,basic,-2.08
2764,Cn1ccc2ccccc2c1=O,basic,-1.8
2765,Nc1c([N+](=O)[O-])ccc2ccccc12,basic,-1.6
2766,Cn1c(=S)ccc2ccccc21,basic,-1.6
2767,COc1ccc(C(N)=O)cc1,basic,-1.6
2768,C[NH+]1CCCC1c1ccc(Cl)nc1,basic,-1.3
2769,O=[N+]([O-])c1[nH]cnc1Cl,basic,-1.3
2770,O=[N+]([O-])c1cccc(Nc2ccccc2)c1,basic,-1.27
2771,COc1nc2ccccc2nc1OC,basic,-1.15
2772,Cn1c(=O)cnc2ccccc21,basic,-1.15
2773,CCCC(N)=CC(=O)c1ccccc1,basic,-1.12
2774,[S-]c1cnc2ccccc2[nH+]1,basic,-1.11
2775,N#CC(C#N)=NNc1ccccc1C(=O)O,basic,-0.96
2776,NC(N)=S,basic,-0.96
2777,Nc1ccc2ccccc2c1[N+](=O)[O-],basic,-0.92
2778,Nc1ccc(Cl)cc1[N+](=O)[O-],basic,-0.88
2779,N#CC(C#N)=NNc1ccc(N=Nc2ccccc2)cc1,basic,-0.87
2780,Cc1ccc(C)c(NN=C(C#N)C#N)c1,basic,-0.84
2781,Cc1ccc(NN=C(C#N)C#N)cc1,basic,-0.83
2782,O=[N+]([O-])c1cccc2cn[nH]c12,basic,-0.83
2783,N#CC(C#N)=NNc1ccccc1,basic,-0.82
2784,N#CC(C#N)=NNc1ccc(CCCl)cc1,basic,-0.81
2785,N#CC(C#N)=NNc1ccc(Cl)cc1,basic,-0.79
2786,N#CC(C#N)=NNc1ccc(OC(F)(F)F)cc1,basic,-0.78
2787,Cc1ccc(NN=C(C#N)C#N)c([N+](=O)[O-])c1,basic,-0.78
2788,CC(=O)c1ccc(NN=C(C#N)C#N)cc1,basic,-0.77
2789,N#CC(C#N)=NNc1ccccc1Cl,basic,-0.77
2790,N#CC(C#N)=NNc1ccc(C(=O)CCl)cc1,basic,-0.76
2791,Cc1cc([N+](=O)[O-])ccc1NN=C(C#N)C#N,basic,-0.74
2792,O=[N+]([O-])c1cc2cn[nH]c2cc1[N+](=O)[O-],basic,-0.73
2793,N#CC(C#N)=NNc1cccc(Cl)c1Cl,basic,-0.71
2794,O=C(O)c1cnccn1,basic,-0.7
2795,COC(=O)c1ncccn1,basic,-0.68
2796,N#CC(C#N)=NNc1c(Cl)cccc1Cl,basic,-0.67
2797,Nn1nnnc1-c1ccccc1,basic,-0.62
2798,N#CC(C#N)=NNc1ccc([N+](=O)[O-])cc1Cl,basic,-0.62
2799,O=[N+]([O-])c1ccc(-c2ncc(-c3ccccc3)o2)cc1,basic,-0.61
