,Smiles,pKa,basicOrAcidic
0,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,4.02,acidic
1,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,3.98,acidic
2,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,3.6,acidic
3,C[C@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]2(O)CCC(=O)O,4.6,acidic
4,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,3.2,acidic
5,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,3.4,acidic
7,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,6.09,acidic
8,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,5.42,acidic
9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,6.22,acidic
10,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,6.0,acidic
11,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,5.46,acidic
12,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,8.11,acidic
13,CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,6.06,acidic
14,CN1C[C@@H]2C[C@H]1CN2c1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1,6.07,acidic
15,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1,5.66,acidic
16,O=C(O)c1cn(-c2ccc(F)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O,5.62,acidic
17,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2OCN4C)CC1,5.69,acidic
18,CC(=O)Oc1ccccc1C(=O)O,3.5,acidic
20,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,3.99,acidic
21,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,4.9,acidic
22,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,10.46,acidic
23,O=P1(N(CCCl)CCCl)NCCCO1,11.1,acidic
24,O=P1(NCCCl)OCCCN1CCCl,9.1,acidic
25,O=c1[nH]cc(F)c(=O)[nH]1,7.5,acidic
26,CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23,6.31,acidic
28,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,10.39,acidic
29,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,5.21,acidic
31,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,3.65,acidic
32,O=C(O)c1ccccc1,4.14,acidic
33,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,2.8,acidic
34,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,2.8,acidic
