,Smiles,pKa,basicOrAcidic
0,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,7.03,basic
2,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,8.62,basic
3,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,8.18,basic
4,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,8.38,basic
5,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,8.5,basic
6,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,8.0,basic
7,CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,7.7,basic
8,CN1C[C@@H]2C[C@H]1CN2c1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1,8.56,basic
9,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1,7.24,basic
10,O=C(O)c1cn(-c2ccc(F)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O,8.18,basic
11,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2OCN4C)CC1,8.02,basic
13,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,8.49,basic
14,CN(C)C(=N)NC(=N)N,12.4,basic
15,O=P1(N(CCCl)CCCl)NCCCO1,2.3,basic
16,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,8.3,basic
17,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,5.25,basic
18,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,8.7,basic
19,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,8.1,basic
20,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,7.32,basic
21,CN[C@@H](C)[C@@H](O)c1ccccc1,9.8,basic
22,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,7.9,basic
24,Clc1cccc(Cl)c1NC1=NCCN1,8.12,basic
25,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,3.42,basic
26,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,6.47,basic
27,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,2.9,basic
29,COCCc1ccc(OCC(O)CNC(C)C)cc1,9.68,basic
30,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],4.61,basic
31,CCN(CC)CCOC(=O)c1ccc(N)cc1,8.95,basic
33,CC(C)NCC(O)COc1cccc2[nH]ccc12,9.3,basic
34,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,9.75,basic
35,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,9.5,basic
36,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,9.2,basic
37,C[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,6.72,basic
38,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,7.2,basic
39,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,6.05,basic
40,Cc1ncc([N+](=O)[O-])n1CCO,2.62,basic
