,Smiles,pKa,basicOrAcidic
2,O=[N+]([O-])c1ccc(O)cc1C(F)(F)F,6.07,acidic
3,Cc1cc(O)cc(C)c1Cl,9.7,acidic
9,Oc1cccc(C(F)(F)F)c1,8.95,acidic
11,CC(C)c1ccc(O)cc1,10.24,acidic
24,CCc1ccc(O)cc1,10,acidic
28,Oc1cccc(F)c1,9.21,acidic
29,Oc1ccc(C(F)(F)F)cc1,8.68,acidic
30,COc1cc(O)cc(OC)c1,9.34,acidic
33,O=[N+]([O-])c1ccc(O)cc1[N+](=O)[O-],5.42,acidic
35,CC(C)(C)c1cccc(O)c1,10.12,acidic
36,O=[N+]([O-])c1cc(O)cc([N+](=O)[O-])c1,6.69,acidic
40,CC(C)c1cccc(O)c1,10.16,acidic
41,CCc1cccc(O)c1,9.9,acidic
42,CCOc1cccc(O)c1,9.65,acidic
46,CCCc1ccc(O)cc1,10.34,acidic
50,Oc1ccc(CS)cc1,9.53,acidic
52,Cc1ccc(O)cc1[N+](=O)[O-],8.62,acidic
54,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,9.7,acidic
55,OCc1ccccc1C(c1ccc(O)cc1)c1ccc(O)cc1,9.65,acidic
56,Oc1cccc(O)c1,9.32,acidic
57,Oc1cc(O)cc(O)c1,8.45,acidic
58,Oc1ccc(O)cc1,10.85,acidic
63,CCCCCCCCCc1ccc(O)cc1,10.25,acidic
64,CC(C)CC(C)CC(C)c1ccc(O)cc1,11.06,acidic
66,CS(=O)(=O)c1cccc(O)c1,9.33,acidic
67,Oc1cc(I)cc(I)c1,8.1,acidic
68,CCOc1cc(O)cc(OCC)c1,9.37,acidic
71,Cc1cc(O)cc(C)c1S(C)(=O)=O,8.13,acidic
72,CC(C)(C)c1cc(O)cc(C(C)(C)C)c1,10.29,acidic
73,Cc1cc(O)cc(C)c1C,10.25,acidic
76,CNC(=O)c1ccc(Br)c(C)c1O,7.52,acidic
79,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,4.09,acidic
80,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,5.22,acidic
81,O=[N+]([O-])c1cccc(O)c1[N+](=O)[O-],4.96,acidic
82,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.7,acidic
85,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,0.38,acidic
86,O=[N+]([O-])c1cc(Cl)cc([N+](=O)[O-])c1O,2.96,acidic
87,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,4.62,acidic
89,CC(C)c1ccccc1O,10.47,acidic
90,CC(C)(C)c1ccccc1O,10.28,acidic
91,Oc1c(Cl)cc(Cl)cc1Cl,6.23,acidic
92,Cc1ccc(C(C)C)c(O)c1,10.62,acidic
97,CCc1ccccc1O,10.2,acidic
98,COc1cc(C)ccc1O,10.28,acidic
99,CCOc1ccccc1O,10.11,acidic
100,Oc1cc(Cl)c(Cl)cc1Cl,7.4,acidic
105,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,11.72,acidic
106,CC=Cc1ccc(O)c(OC)c1,9.88,acidic
108,CC(C)(C)c1ccc(O)c(Cl)c1,8.58,acidic
109,Cc1cc(C(C)(C)C)ccc1O,10.59,acidic
112,Oc1c(Br)cc(Br)cc1Br,6.8,acidic
116,CC(C)(C)c1cccc(C(C)(C)C)c1O,11.7,acidic
118,O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1,4.52,acidic
119,O=[N+]([O-])c1ccc([N+](=O)[O-])c(O)c1,5.21,acidic
121,O=[N+]([O-])c1ccc(F)cc1O,6.07,acidic
126,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,4.31,acidic
127,O=[N+]([O-])c1cccc([N+](=O)[O-])c1O,3.97,acidic
130,Oc1cc(Cl)ccc1Cl,7.51,acidic
131,O=[N+]([O-])c1cccc(Cl)c1O,5.48,acidic
132,Oc1c(Br)c(Br)c(Br)c(Br)c1Br,4.62,acidic
134,Cc1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,4.23,acidic
136,O=[N+]([O-])c1ccc(Cl)cc1O,6.05,acidic
139,O=[N+]([O-])c1ccc(O)c(Cl)c1,5.45,acidic
141,CCCc1ccccc1O,10.47,acidic
143,Cc1ccc([N+](=O)[O-])c(O)c1,7.41,acidic
144,O=[N+]([O-])c1cc(-c2ccccc2)c(O)c([N+](=O)[O-])c1,3.85,acidic
145,CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,12.19,acidic
146,Oc1c(F)c(F)c(F)c(F)c1F,5.53,acidic
149,Oc1c(Cl)c(Cl)cc(Cl)c1Cl,5.14,acidic
150,O=[N+]([O-])c1cc(Cl)c(O)c([N+](=O)[O-])c1,2.1,acidic
153,N#Cc1cc(Br)c(O)c(Br)c1,3.86,acidic
154,Cc1cc(C)c(O)c(C(C)(C)C)c1,12.04,acidic
155,CC(C)c1cccc(C(C)C)c1O,11.1,acidic
156,Cc1ccc(O)c(C(C)(C)C)c1,11.72,acidic
158,Cc1cc(Cl)c(O)c(Cl)c1,7.19,acidic
159,Oc1c(Cl)cc(Br)cc1Cl,6.21,acidic
160,CCC(C)c1ccc(O)c([N+](=O)[O-])c1,7.59,acidic
161,O=C(O)c1ccc(O)c(Cl)c1,7.52,acidic
162,Oc1cc(Cl)c(Cl)c(Cl)c1Cl,6.35,acidic
163,Cc1ccc([N+](=O)[O-])cc1O,8.59,acidic
164,Cc1ccc(O)c(Cl)c1,8.74,acidic
165,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,4.95,acidic
168,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,7.6,acidic
169,Oc1ccccc1O,9.45,acidic
174,N#Cc1cc(I)c(O)c(I)c1,3.96,acidic
175,CCCCc1ccccc1O,10.58,acidic
177,Cc1ccc(O)c(C)c1C,10.59,acidic
178,Cc1c(O)cccc1O,10.05,acidic
180,C=CCc1ccccc1O,10.28,acidic
181,Oc1c(Cl)cc(Cl)cc1Cc1cc(Cl)cc(Cl)c1O,5.6,acidic
182,Oc1ccc(Cl)c(Cl)c1Cl,6.5,acidic
183,Oc1cccc(O)c1O,9.01,acidic
184,Oc1cc(Cl)c(O)c(Cl)c1,7.38,acidic
187,Oc1ccc(Br)cc1Cl,7.64,acidic
188,Oc1ccc(-c2ccccc2)cc1Cl,8.07,acidic
189,CCCc1cc(CCC)c(O)c(CCC)c1,11.47,acidic
190,O=C(O)c1ccc(Cl)c(Cl)c1,3.64,acidic
191,O=C(O)c1cc(Cl)cc(Cl)c1,3.54,acidic
192,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,3.4,acidic
194,O=C(O)c1ccccc1,4.19,acidic
197,COc1ccc(C(=O)O)cc1OC,4.36,acidic
199,O=C(O)c1ccc(O)cc1,4.54,acidic
201,O=C(O)c1ccc(O)c(O)c1,4.48,acidic
202,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,2.82,acidic
203,O=C(O)c1cc(O)cc(O)c1,4.04,acidic
207,COc1cc(C(=O)O)ccc1O,4.51,acidic
208,O=C(O)c1cc(O)c(O)c(O)c1,4.21,acidic
211,O=C(O)c1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,2.82,acidic
221,O=Cc1ccc(C(=O)O)cc1,3.77,acidic
223,CCc1ccc(C(=O)O)cc1,4.35,acidic
225,O=Cc1cccc(C(=O)O)c1,3.84,acidic
226,COc1cc(OC)cc(C(=O)O)c1,3.97,acidic
230,CS(=O)(=O)c1ccc(C(=O)O)cc1,3.64,acidic
232,O=C(O)c1cccc(O)c1,4.3,acidic
233,O=C(O)c1ccc(C(=O)O)cc1,3.51,acidic
234,O=C(O)c1cccc(C(=O)O)c1,3.7,acidic
235,O=C(O)c1cc(F)cc(F)c1,3.59,acidic
236,O=C(O)c1ccc(F)c(F)c1,3.83,acidic
237,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,3.12,acidic
238,O=C(O)c1cc(F)c(F)c(F)c1,3.54,acidic
239,CS(=O)(=O)c1cccc(C(=O)O)c1,3.52,acidic
242,CC(=O)Oc1ccc(C(=O)O)cc1,4.38,acidic
243,CC(C)(C)c1cccc(C(=O)O)c1,4.2,acidic
244,COc1ccc(C(=O)O)cc1[N+](=O)[O-],3.72,acidic
247,O=C(O)c1cccc(C(F)(F)F)c1,3.75,acidic
253,Cc1ccc(C(=O)O)c(O)c1,3.4,acidic
255,O=C(O)c1cc(Cl)ccc1Cl,2.47,acidic
256,CC(=O)Oc1ccccc1C(=O)O,3.49,acidic
257,O=C(O)c1c(Cl)ccc(Cl)c1Cl,1.5,acidic
258,O=C(O)c1c(Cl)cccc1Cl,1.59,acidic
259,O=C(O)c1ccccc1O,2.97,acidic
260,Cc1cccc(C(=O)O)c1O,2.95,acidic
263,O=C(O)c1ccc(O)cc1O,3.11,acidic
264,Cc1ccc(O)c(C(=O)O)c1,3.15,acidic
265,O=C(O)c1cc(Br)ccc1O,2.66,acidic
266,COc1ccc(C(=O)O)c(OC)c1,4.36,acidic
267,O=C(O)c1cc2ccccc2cc1O,2.79,acidic
268,O=C(O)c1cc([N+](=O)[O-])ccc1O,2.12,acidic
272,O=C(O)c1cc(I)ccc1O,2.62,acidic
273,O=C(O)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],0.65,acidic
274,O=C(O)c1cc(I)cc(I)c1O,2.3,acidic
275,O=C(O)c1cccc(O)c1O,2.91,acidic
276,O=C(O)c1c(O)cccc1O,1.05,acidic
277,O=C(O)c1cc(Cl)ccc1O,2.65,acidic
279,O=C(O)c1cc(O)ccc1O,2.95,acidic
283,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,0.7,acidic
284,O=C(O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1.42,acidic
286,Cc1c(F)c(F)c(C(=O)O)c(F)c1F,2,acidic
288,COc1cccc(OC)c1C(=O)O,3.44,acidic
289,COc1cccc(C(=O)O)c1OC,3.98,acidic
290,COc1c(Cl)ccc(Cl)c1C(=O)O,1.97,acidic
293,O=C(O)c1cc([N+](=O)[O-])ccc1Cl,2.17,acidic
298,O=C(O)c1ccccc1C(=O)O,2.76,acidic
299,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,1.87,acidic
300,O=C(O)c1c(F)cccc1F,2.85,acidic
301,O=C(O)c1cc(F)c(F)cc1F,3.28,acidic
302,O=C(O)c1c(F)c(F)c(F)c(F)c1F,2.72,acidic
303,O=C(O)c1c(F)c(F)cc(F)c1F,2.71,acidic
305,O=C(O)c1cc(F)c(F)c(F)c1F,3.08,acidic
306,O=C(O)c1ccc(F)cc1F,3.58,acidic
307,O=C(O)c1c(F)ccc(F)c1F,2.82,acidic
308,O=C(O)c1cc(F)ccc1F,3.3,acidic
309,O=C(O)c1cccc(F)c1F,3.29,acidic
310,O=C(O)c1ccc(F)c(F)c1F,3.3,acidic
