,Smiles,pKa,basicOrAcidic
4,CN(C)c1ccc(N(C)C)cc1,6.35,basic
8,CC(=O)N(C)c1ccccc1,-0.5,basic
28,NCc1ccco1,8.89,basic
29,NCC(F)(F)F,5.7,basic
30,COc1cc(CCN)cc(OC)c1OC,9.56,basic
36,NCCN,9.922,basic
37,NCCCN,10.62,basic
39,NCCCCN,10.8,basic
43,CCCCCCCCCN,10.64,basic
44,CCCCCC(C)N,10.58,basic
45,NCCCCCCN,11.02,basic
49,CC(=O)C1CCC2C3CCC4CC(N)CCC4(C)C3CCC12C,9.18,basic
51,NC1CCCCC1N,10.24,basic
53,NCCc1ccccn1,10.03,basic
54,NCc1ccccn1,9.09,basic
56,CCCCC(C)CN,11.13,basic
79,CCCC1CCCCN1,11.0,basic
80,C1CCC(NC2CCCCC2)CC1,10.4,basic
82,CC1CN1,8.22,basic
83,CC1CNC(C)CN1,9.66,basic
84,CNCCNC,10.16,basic
85,C1CNCCN1,9.731,basic
87,CCNCCNCC,11.06,basic
94,CC(Cc1ccc(C(C)(C)C)cc1)CN1CC(C)OC(C)C1,6.98,basic
98,CN(C)Cc1cccnc1,8.0,basic
100,CN(C)CCc1ccccn1,8.75,basic
101,CN(C)CCc1cccnc1,8.86,basic
105,c1cncc(CCN2CCCC2)c1,9.28,basic
111,CN1CCCC1c1cccnc1,8.18,basic
112,CCN(CCCl)CCCl,6.57,basic
115,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,8.72,basic
116,CC1CCCCN1CCCOC(=O)c1ccc(Cl)c(Cl)c1,8.9,basic
117,Cc1ccccc1C(OCCN(C)C)c1ccccc1,8.91,basic
120,CC(Cc1ccc(C(C)(C)C)cc1)CN1CCCCC1,10.1,basic
124,CN(C)CCC=C1c2ccccc2CCc2ccccc21,9.4,basic
125,CN(C)CCCN1c2ccccc2CCc2ccccc21,9.4,basic
126,CN(CCCl)CCCl,6.43,basic
127,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,8.92,basic
129,c1ccc(C2(N3CCCCC3)CCCCC2)cc1,8.29,basic
