,Smiles,pKa,basicOrAcidic
0,FC(F)(F)c1cccc(Nc2ncnc3ccccc23)c1,5.03,basic
1,Clc1ccc(CNc2ncnc3ccccc23)cc1,6.02,basic
2,O=C(Nc1ccccc1N1CCCCC1)c1ccc(Cl)o1,4.59,basic
3,O=C(Nc1cccc2cccnc12)c1cncc(Br)c1,3.03,basic
4,c1ccc(CNc2ncnc3ccccc23)cc1,6.08,basic
5,COc1cccc(Nc2ncnc3ccccc23)c1,5.37,basic
7,Clc1cccc(Nc2ncnc3ccccc23)c1,5.28,basic
8,COc1cc2ncnc(Nc3cccc(C)c3)c2cc1OC,5.77,basic
9,Nc1ccc2c(c1)ncn2-c1ccccc1,5.3,basic
10,Oc1ccc(-n2cnc3ccccc32)cc1,4.7,basic
11,O=C(Nc1ccncc1)c1c(Cl)cccc1Cl,5.37,basic
12,c1ccc(CSc2nnc(-c3ccncc3)o2)cc1,3.16,basic
13,O=C(CCc1nc2ccccc2c(=O)[nH]1)Nc1ncc(Cc2ccc(F)c(F)c2)s1,2.15,basic
14,Fc1cnc(Nc2cccc(Br)c2)nc1Nc1cccc(Br)c1,4.1,basic
16,CCOC(=O)c1ccc(Nc2cc(C)nc(Nc3ccc(C(=O)OCC)cc3)n2)cc1,5.45,basic
17,COc1ccc(-c2oc3ncnc(NCCO)c3c2-c2ccc(OC)cc2)cc1,2.6,basic
18,[NH3+]c1ccc2c(c1)ncn2-c1ccccc1,2.58,basic
