,Smiles,pKa,basicOrAcidic
12,O=C(CCc1ccccc1)NS(=O)(=O)c1ccccc1,4.49,acidic
13,CC(=O)NS(=O)(=O)CCc1ccccc1,4.91,acidic
14,CC1(NS(=O)(=O)CCc2ccccc2)COC1,10.45,acidic
15,CS(=O)(=O)NC1(CCc2ccccc2)COC1,10.05,acidic
16,O=S(=O)(NC1(CCc2ccccc2)COC1)c1ccccc1,10.29,acidic
17,CN(C)S(=O)(=O)NC1(CCc2ccccc2)COC1,11.02,acidic
18,CS(=O)(=O)NC1(CCc2ccccc2)CSC1,10.45,acidic
19,CN(C)S(=O)(=O)NC1(CCc2ccccc2)CSC1,11.93,acidic
20,CS(=O)(=O)NC1(CCc2ccccc2)C[S+]([O-])C1,9.87,acidic
21,O=S(=O)(NC1(CCc2ccccc2)C[S+]([O-])C1)c1ccccc1,9.8,acidic
22,CN(C)S(=O)(=O)NC1(CCc2ccccc2)C[S+]([O-])C1,10.33,acidic
23,CS(=O)(=O)NC1(CCc2ccccc2)CS(=O)(=O)C1,9.44,acidic
24,O=S1(=O)CC(CCc2ccccc2)(NS(=O)(=O)c2ccccc2)C1,10.22,acidic
25,CN(C)S(=O)(=O)NC1(CCc2ccccc2)CS(=O)(=O)C1,9.58,acidic
26,CS(=O)(=O)Nc1cc(-c2ccccc2)on1,5.22,acidic
27,O=S(=O)(Nc1cc(-c2ccccc2)on1)c1ccccc1,6.62,acidic
28,CN(C)S(=O)(=O)Nc1cc(-c2ccccc2)on1,5.62,acidic
29,CS(=O)(=O)Nc1cn(-c2ccccc2)nn1,6.34,acidic
30,O=S(=O)(Nc1cn(-c2ccccc2)nn1)c1ccccc1,5.93,acidic
31,CN(C)S(=O)(=O)Nc1cn(-c2ccccc2)nn1,6.42,acidic
